"idealista_id";"bedrooms";"bathrooms";"floor";"elevator";"terrace";"balcony";"garaje";"built_in_wardrobe";"air_conditioning";"swimming_pool";"green_zone";"price";"furnished";"equiped_kitchen";"street";"neighborhood";"district";"m2_builded";"m2_habitable"
"100095340";"0";"1";"Bajo exterior";"N";"Y";"Y";"N";"Y";"Y";"N";"N";"1300";"Y";"Y";NULL;"Barrio Centro Tradicional";"Distrito Centro";"86";NULL
"100099538";"4";"2";"Planta 1ª exterior";"Y";"Y";"N";"N";"Y";"N";"N";"N";"1500";"N";"Y";NULL;"Barrio Centro Tradicional";"Distrito Centro";"161";" 144"
"100101070";"5";"4";"Planta 3ª exterior";"Y";"N";"N";"N";"Y";"Y";"N";"N";"2600";"Y";"Y";"Rambla MENDEZ NUÑEZ";"Barrio Centro Tradicional";"Distrito Centro";"197";NULL
"100103365";"1";"1";"Planta 3ª interior";"Y";"N";"N";"N";"Y";"Y";"N";"N";"875";"Y";"Y";NULL;"Barrio Benalúa";"Distrito Benalúa-La Florida-Babel-San Gabriel";"55";" 45"
"100114794";"2";"2";"Planta 1ª exterior";"Y";"Y";"Y";"N";"Y";"Y";"Y";"Y";"1500";"Y";"Y";"Calle Alcalde José Luís Lassaletta";"Barrio Babel";"Distrito Benalúa-La Florida-Babel-San Gabriel";"138";" 125"
"100116333";"4";"2";"Planta 1ª exterior";"Y";"Y";"Y";"N";"Y";"N";"N";"N";"1500";"N";"Y";"Calle Alvarez Sereix";"Barrio Centro Tradicional";"Distrito Centro";"140";NULL
"100124437";"3";"2";"Planta 4ª exterior";"Y";"N";"N";"Y";"Y";"Y";"Y";"N";"1700";"Y";"Y";"Avenida estacion, 5";"Barrio Ensanche-Diputación";"Distrito Centro";"120";NULL
"100132120";"1";"1";"Planta 5ª exterior";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"1500";"Y";"Y";"CASTAÑOS";"Barrio Centro Tradicional";"Distrito Centro";"100";NULL
"100136829";"3";"1";"Planta 1ª exterior";"Y";"N";"N";"N";"Y";"N";"N";"N";"720";"N";"Y";"Pasaje Navarra";"Barrio Plà del Bon Repòs-La Goteta";"Distrito Plà del Bon Repòs-La Goteta-San Antón";"73";NULL
"100152409";"2";"2";"Planta 1ª exterior";"Y";"N";"N";"Y";"Y";"Y";"Y";"Y";"850";"Y";"Y";"Avenida de santander, 25";"Barrio Playa de San Juan";"Distrito Playa de San Juan-El Cabo";"110";NULL
"100156588";"3";"1";"Planta 1ª exterior";"N";"N";"Y";"N";"Y";"Y";"N";"N";"950";"Y";"Y";NULL;"Barrio Mercado";"Distrito Centro";"100";" 85"
"100163023";"2";"1";"Bajo exterior";"Y";"N";"N";"N";"N";"Y";"N";"N";"1300";"Y";"Y";NULL;"Barrio Campoamor";"Distrito Campoamor-Carolinas-Altozano";"100";" 95"
"100183178";"1";"1";"Planta 5ª exterior";"Y";"N";"N";"N";"Y";"N";"Y";"N";"2000";"Y";"Y";"Avenida de Villajoyosa";"Barrio La Albufereta";"Distrito Playa de San Juan-El Cabo";"50";NULL
"100233935";"3";"2";"Planta 5ª exterior";"Y";"Y";"N";"N";"N";"Y";"N";"N";"1350";"Y";"Y";"Avenida de la Estación";"Barrio Ensanche-Diputación";"Distrito Centro";"100";NULL
"100236258";"3";"2";"Bajo exterior";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"1500";"Y";"Y";NULL;"Barrio Centro Tradicional";"Distrito Centro";"90";" 85"
"100250905";"3";"1";"Planta 5ª exterior";"Y";"N";"N";"N";"Y";"N";"N";"N";"700";"Y";"Y";"Calle Pintor Pedro Camacho";"Barrio Juan XXIII";"Distrito Virgen del Remedio-Juan XXIII";"80";" 75"
"100252182";"3";"2";"None";"N";"Y";"Y";"Y";"Y";"Y";"Y";"N";"1380";"N";"Y";"Avenida Pintor Fernando Soria";"Barrio Alicante Golf";"Distrito Playa de San Juan-El Cabo";"210";" 180"
"100261595";"4";"2";"Planta 6ª exterior";"Y";"N";"N";"N";"Y";"Y";"N";"N";"2300";"Y";"Y";"Avenida de Loring";"Barrio Ensanche-Diputación";"Distrito Centro";"180";NULL
"100283198";"3";"1";"Planta 5ª exterior";"Y";"N";"N";"Y";"Y";"N";"N";"N";"700";"Y";"Y";"Calle Pintor Pedro Camacho";"Barrio Juan XXIII";"Distrito Virgen del Remedio-Juan XXIII";"80";" 75"
"100324885";"4";"4";"Planta 2ª exterior";"Y";"N";"N";"Y";"Y";"Y";"N";"N";"2300";"N";"N";NULL;"Barrio Ensanche-Diputación";"Distrito Centro";"258";" 206"
"100347570";"7";"5";"None";"N";"Y";"Y";"Y";"Y";"Y";"Y";"N";"3000";"Y";"Y";NULL;"Barrio El Palmeral-Urbanova-Tabarca";"Distrito Benalúa-La Florida-Babel-San Gabriel";"475";" 470"
"100357089";"4";"2";"Planta 6ª exterior";"Y";"Y";"N";"N";"N";"N";"N";"N";"1650";"N";"N";"Avenida de Loring s/n";"Barrio Ensanche-Diputación";"Distrito Centro";"240";NULL
"100370317";"2";"1";"Planta 2ª exterior";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"1200";"Y";"Y";"Calle Cienfuegos, 7";"Barrio Casco Histórico-Santa Cruz";"Distrito Centro";"75";NULL
"100371995";"3";"3";"Planta 5ª exterior";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"1600";"Y";"Y";NULL;"Barrio Casco Histórico-Santa Cruz";"Distrito Centro";"123";NULL
"100377912";"6";"5";"None";"N";"Y";"N";"Y";"Y";"Y";"Y";"N";"6000";"N";"Y";"Calle Galia";"Barrio Alicante Golf";"Distrito Playa de San Juan-El Cabo";"500";NULL
"100393174";"2";"1";"None";"N";"Y";"N";"N";"N";"N";"N";"N";"1200";"Y";"Y";"Calle Cienfuegos";"Barrio Casco Histórico-Santa Cruz";"Distrito Centro";"75";NULL
"100395321";"2";"1";"Planta 2ª exterior";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"1200";"Y";"Y";"Calle Cienfuegos";"Barrio Casco Histórico-Santa Cruz";"Distrito Centro";"75";NULL
"100399514";"2";"2";"Planta 5ª exterior";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"1200";"Y";"Y";NULL;"Barrio Casco Histórico-Santa Cruz";"Distrito Centro";"75";NULL
"100407530";"3";"2";"Planta 5ª exterior";"Y";"N";"N";"Y";"Y";"Y";"N";"N";"2100";"N";"Y";"Avenida General Marva, 33";"Barrio Ensanche-Diputación";"Distrito Centro";"220";" 170"
"100410791";"2";"1";"Planta 2ª exterior";"Y";"N";"N";"N";"N";"N";"N";"N";"900";"Y";"Y";"Avenida de Niza, 4";"Barrio Playa de San Juan";"Distrito Playa de San Juan-El Cabo";"70";NULL
